temperature;soilMoisture;precipitation;ndvi;evatrasporation;Level
NULL;4.309;0;NULL;NULL;584.564
NULL;3.914;0;NULL;NULL;547.855
NULL;4.622;0;NULL;NULL;528.474
NULL;4.3;0;NULL;NULL;546.686
NULL;4.327;27.59;NULL;NULL;552.115
NULL;4.543;0;NULL;NULL;584.84
NULL;4.201;0;NULL;NULL;536.585
NULL;3.835;0;NULL;NULL;542.373
NULL;4.163;0;NULL;NULL;571.52
NULL;4.902;0;NULL;NULL;538.274
NULL;4.332;0;NULL;NULL;528.088
NULL;3.851;0;NULL;NULL;533.748
NULL;4.273;0;NULL;NULL;521.072
NULL;4.177;0;NULL;NULL;575.625
NULL;4.218;0;NULL;NULL;553.076
NULL;4.195;12.323;NULL;NULL;532.789
NULL;4.276;0;NULL;NULL;550.664
NULL;4.01;0;NULL;NULL;553.457
NULL;4.553;0;NULL;NULL;579.339
NULL;4.14;0;NULL;NULL;536.404
NULL;3.079;0;NULL;NULL;536.38
NULL;4.411;0;NULL;NULL;566.19
NULL;4.528;0;NULL;NULL;555.614
NULL;3.978;0;NULL;NULL;527.526
NULL;3.92;0;NULL;NULL;525.846
NULL;3.998;0;NULL;NULL;525.382
NULL;4.164;0;NULL;NULL;574.589
NULL;4.17;0;NULL;NULL;552.921
NULL;4.277;26.937;NULL;NULL;532.756
NULL;4.22;0;NULL;NULL;550.663
NULL;3.959;0;NULL;NULL;552.89
NULL;4.798;0;NULL;NULL;578.756
NULL;4.133;0;NULL;NULL;536.203
NULL;3.199;0;NULL;NULL;535.739
NULL;4.936;0;NULL;NULL;565.85
NULL;4.429;0;NULL;NULL;555.826
NULL;4.014;0;NULL;NULL;527.045
NULL;3.623;0;NULL;NULL;525.084
NULL;4.111;0;NULL;NULL;524.813
NULL;4.144;0;NULL;NULL;573.55
NULL;4.117;0;NULL;NULL;552.685
NULL;5.875;0;NULL;NULL;533.157
NULL;4.223;0;NULL;NULL;550.537
NULL;3.97;0;NULL;NULL;552.241
NULL;4.426;0;NULL;NULL;578.204
NULL;4.098;0;NULL;NULL;535.976
NULL;3.358;0;NULL;NULL;535.104
NULL;4.707;24.433;NULL;NULL;565.643
NULL;4.45;0;NULL;NULL;555.67
NULL;4.513;0;NULL;NULL;526.532
NULL;3.409;0;NULL;NULL;524.317
NULL;4.183;0;NULL;NULL;524.156
NULL;4.14;0;NULL;NULL;572.506
NULL;4.021;0;NULL;NULL;552.388
NULL;4.806;0;NULL;NULL;534.931
NULL;4.231;4.193;NULL;NULL;550.332
NULL;3.95;0;NULL;NULL;551.519
NULL;4.356;0;NULL;NULL;577.617
NULL;4.068;0;NULL;NULL;535.712
NULL;3.504;0;NULL;NULL;534.478
NULL;5.857;0;NULL;NULL;565.923
NULL;4.311;0;NULL;NULL;555.326
NULL;4.65;0;NULL;NULL;526.108
NULL;3.201;0;NULL;NULL;523.557
NULL;4.085;0;NULL;NULL;523.458
NULL;4.179;0;NULL;NULL;571.462
NULL;3.984;0;NULL;NULL;552.004
15.03;4.432;0;NULL;146;536.638
NULL;4.178;0;NULL;NULL;550.086
NULL;4.006;0;NULL;NULL;550.739
NULL;4.405;0;NULL;NULL;576.951
15.17;4.037;0;NULL;158;535.404
NULL;3.339;0;NULL;NULL;533.868
NULL;4.96;0;NULL;NULL;567.406
NULL;4.172;0;NULL;NULL;554.875
14.973;4.112;0;NULL;177;525.796
NULL;4.436;0;NULL;NULL;522.792
NULL;4.015;0;NULL;NULL;522.717
15.099;4.192;0;NULL;198;570.424
15.139;3.928;0;NULL;175;551.532
NULL;4.632;0;NULL;NULL;537.863
15.17;4.092;0;NULL;235;549.803
NULL;3.987;0;NULL;242;549.918
NULL;4.348;0;NULL;236;576.224
NULL;4.023;0;NULL;NULL;535.051
15.339;3.158;0;NULL;199;533.27
14.971;4.624;0;NULL;239;568.707
14.789;4.131;0;NULL;179;554.341
NULL;4.042;0;NULL;NULL;525.491
15.461;4.844;0;NULL;207;522.191
15.259;3.929;0;NULL;196;521.941
NULL;4.231;0;NULL;NULL;569.395
NULL;4.025;0;NULL;NULL;550.973
NULL;4.464;0;NULL;NULL;538.86
NULL;4.014;0;NULL;NULL;549.46
NULL;3.987;0;NULL;NULL;549.057
NULL;4.287;0;NULL;NULL;575.453
NULL;4.007;0;NULL;NULL;534.656
NULL;3.01;0;NULL;NULL;532.68
NULL;4.495;0;NULL;NULL;569.409
NULL;4.098;0;NULL;NULL;553.733
NULL;4.022;0;NULL;NULL;525.158
NULL;4.59;0;NULL;NULL;522.002
NULL;3.79;0;NULL;NULL;521.093
NULL;4.319;0;NULL;NULL;568.398
NULL;4.019;0;NULL;NULL;550.355
NULL;4.268;0;NULL;NULL;539.574
NULL;3.906;0;NULL;NULL;549.043
NULL;3.975;0;NULL;NULL;548.161
NULL;4.224;0;NULL;NULL;574.633
NULL;4.045;0;NULL;NULL;534.214
NULL;2.818;0;NULL;NULL;532.098
NULL;4.361;0;NULL;NULL;569.613
NULL;4.146;0;NULL;NULL;553.053
NULL;4.027;0;NULL;NULL;524.779
NULL;4.123;0;NULL;NULL;521.888
NULL;3.604;0;NULL;NULL;520.178
NULL;4.158;0;NULL;NULL;567.451
NULL;3.953;0;NULL;NULL;549.704
NULL;4.203;0;NULL;NULL;539.89
NULL;3.837;10.06;NULL;NULL;548.54
NULL;3.983;0;NULL;NULL;547.217
NULL;4.326;1.678;NULL;NULL;573.756
NULL;3.997;0;NULL;NULL;533.737
NULL;2.62;0;NULL;NULL;531.523
NULL;4.276;0;NULL;NULL;569.543
NULL;4.557;0;NULL;NULL;552.306
NULL;4.439;0;NULL;NULL;524.342
NULL;4.039;0;NULL;NULL;521.628
NULL;3.401;0;NULL;NULL;519.222
NULL;4.117;0;NULL;NULL;566.517
NULL;3.998;0;NULL;NULL;549.002
NULL;4.254;0;NULL;NULL;539.946
